TrainingSize,TestSize,vCPU,TrainingTime
880,221,8,974.5862484
1754,439,8,1105.001926
2626,657,8,1395.010233
3496,875,8,1257.996082
4366,1092,8,1689.56542
5238,1310,8,2517.002344
6096,1524,8,2339.986801
6937,1735,8,2751.544714
7780,1946,8,3308.684111
8620,2155,8,3802.540541
9500,2376,8,4544.009447
10216,2554,8,3801.478386
10917,2730,8,3791.4505
11642,2911,8,4011.686802
12335,3084,8,5033.643007
13043,3261,8,6610.007048
13750,3438,8,4748.411894
14452,3614,8,5863.648891
15137,3785,8,5402.54426
15812,3954,8,4934.616566
16499,4125,8,7011.144161
17200,4300,8,6427.454472
17900,4475,8,6207.905531
18576,4644,8,7101.178169
19252,4813,8,8491.245985
19920,4980,8,8103.552818
20587,5147,8,8512.602091
21261,5316,8,8726.381063
21937,5485,8,8727.722883
22618,5655,8,9766.25061
23287,5822,8,8718.587399
23984,5996,8,8921.267509
24676,6170,8,9631.079674
25377,6345,8,9943.676949
26068,6517,8,10002.60615
26743,6686,8,9315.098763
27427,6857,8,10789.64925
28105,7027,8,11233.38294
28791,7198,8,12981.25052
29445,7362,8,14363.6272
30125,7532,8,11670.00747
30807,7702,8,12839.99825
31481,7871,8,10300.0021
32156,8039,8,11100.00801
32842,8211,8,13509.99665
33503,8376,8,15220.01004
34177,8545,8,12889.9982
34869,8718,8,10599.97106
35526,8882,8,12376.23024
36191,9048,8,14920.01128
880,221,2,3156.239271
1754,439,2,3125.001192
2625,657,2,4000.001907
3496,874,2,4109.377861
4368,1092,2,7406.251907
5240,1310,2,6093.753576
6100,1526,2,7890.607834
6944,1737,2,8578.10688
7788,1947,2,9250.003099
8631,2158,2,9796.878338
9508,2378,2,11125.00119
10228,2558,2,11671.8781
10927,2732,2,12828.12738
11644,2912,2,14296.78369
12342,3086,2,14578.12667
13049,3263,2,14859.38048
13758,3440,2,16734.37905
14461,3616,2,16625.00358
15148,3788,2,16609.37595
15824,3957,2,17546.87738
16512,4128,2,17953.12858
17216,4304,2,19015.62786
17917,4480,2,19640.62738
18593,4649,2,21593.75286
19270,4818,2,23671.87667
19938,4985,2,24125.00215
20607,5152,2,25312.50358
21281,5321,2,25968.75334
21956,5490,2,26015.64026
22636,5660,2,24937.50215
23306,5827,2,26046.87548
24006,6002,2,26890.625
24699,6175,2,27625.00453
25400,6350,2,27359.37619
26090,6523,2,27187.49714
26765,6692,2,28388.91101
27449,6863,2,29265.62858
28127,7032,2,63619.76123
28815,7204,2,31453.09854
29468,7368,2,36249.95565
30148,7537,2,35140.64789
30832,7708,2,33343.73832
31499,7875,2,34281.3251
32169,8043,2,34671.91029
32855,8214,2,38234.37166
33516,8380,2,37640.62929
34183,8546,2,38203.10569
34872,8718,2,38140.61522
35530,8883,2,38045.40825
36192,9049,2,38171.875
880,221,16,687.5047684
1754,439,16,546.6787815
2626,657,16,671.8866825
3496,875,16,874.9113083
4366,1092,16,1124.708176
5238,1310,16,1343.707561
6098,1525,16,1515.60545
6948,1737,16,1638.638258
7789,1948,16,2000.065088
8628,2158,16,2234.378099
9512,2378,16,2531.256437
10232,2559,16,2421.707869
10930,2733,16,2875.011444
11654,2914,16,2765.627384
12351,3088,16,2968.750238
13050,3263,16,3390.629768
13760,3441,16,3171.876431
14464,3617,16,3343.748331
15152,3789,16,3406.249762
15825,3957,16,3734.372616
16523,4131,16,3828.124523
17224,4306,16,3921.873808
17925,4482,16,4187.500477
18601,4651,16,4453.118801
19279,4820,16,5124.994516
19947,4987,16,5062.501431
20613,5154,16,5062.498331
21288,5322,16,4953.121424
21963,5491,16,4968.742847
22643,5661,16,5156.247616
23313,5829,16,5343.74547
24012,6004,16,5406.25
24705,6177,16,5593.747377
25406,6352,16,5875.000715
26096,6525,16,6015.621185
26772,6693,16,6250.003338
27455,6864,16,7421.877861
28132,7034,16,7812.499046
28820,7205,16,8249.992371
29473,7369,16,7203.124523
30147,7537,16,8406.254768
30834,7709,16,8312.498808
31508,7878,16,8296.876669
32179,8045,16,9359.377146
32874,8219,16,7515.625954
33536,8384,16,7531.248093
34204,8551,16,7671.863556
34894,8724,16,7843.747616
35551,8888,16,8093.75
36215,9054,16,8515.620708
880,221,4,2750.019073
1754,439,4,2186.715126
2626,657,4,2687.54673
3496,875,4,3499.645233
4366,1092,4,4498.832703
5238,1310,4,5374.830246
6098,1525,4,6062.421799
6948,1737,4,6554.553032
7789,1948,4,8000.260353
8628,2158,4,8937.512398
9512,2378,4,10125.02575
10232,2559,4,9686.831474
10930,2733,4,11500.04578
11654,2914,4,11062.50954
12351,3088,4,11875.00095
13050,3263,4,13562.51907
13760,3441,4,12687.50572
14464,3617,4,13374.99332
15152,3789,4,13624.99905
15825,3957,4,14937.49046
16523,4131,4,15312.49809
17224,4306,4,15687.49523
17925,4482,4,16750.00191
18601,4651,4,17812.4752
19279,4820,4,20499.97807
19947,4987,4,20250.00572
20613,5154,4,20249.99332
21288,5322,4,19812.48569
21963,5491,4,19874.97139
22643,5661,4,20624.99046
23313,5829,4,21374.98188
24012,6004,4,21625
24705,6177,4,22374.98951
25406,6352,4,23500.00286
26096,6525,4,24062.48474
26772,6693,4,25000.01335
27455,6864,4,29687.51144
28132,7034,4,31249.99619
28820,7205,4,32999.96948
29473,7369,4,28812.49809
30147,7537,4,33625.01907
30834,7709,4,33249.99523
31508,7878,4,33187.50668
32179,8045,4,37437.50858
32874,8219,4,30062.50381
33536,8384,4,30124.99237
34204,8551,4,30687.45422
34894,8724,4,31374.99046
35551,8888,4,32375
36215,9054,4,34062.48283
